ord,date,HCHC,HCHP,TENSION,PAPP
92,2017-05-23 00:03:25.144489,36464860,39727614,242,210
93,2017-05-23 00:03:27.354483,36464860,39727614,241,210
94,2017-05-23 00:03:29.564465,36464860,39727614,242,220
95,2017-05-23 00:03:31.774525,36464860,39727614,242,220
96,2017-05-23 00:03:33.984835,36464860,39727614,242,220
97,2017-05-23 00:03:36.194986,36464860,39727614,242,220
98,2017-05-23 00:03:38.404851,36464860,39727614,242,210
99,2017-05-23 00:03:40.615379,36464860,39727614,242,220
100,2017-05-23 00:03:42.825212,36464860,39727614,242,220
101,2017-05-23 00:03:45.035406,36464861,39727614,242,220
102,2017-05-23 00:03:47.245608,36464861,39727614,242,220
103,2017-05-23 00:03:49.455990,36464861,39727614,242,220
104,2017-05-23 00:03:51.666023,36464861,39727614,242,210
105,2017-05-23 00:03:53.875789,36464861,39727614,242,210
106,2017-05-23 00:03:56.086497,36464861,39727614,242,210
107,2017-05-23 00:03:58.296345,36464861,39727614,242,210
108,2017-05-23 00:04:00.506336,36464861,39727614,242,210
109,2017-05-23 00:04:02.716179,36464861,39727614,242,210
110,2017-05-23 00:04:04.926772,36464861,39727614,242,210
111,2017-05-23 00:04:07.136876,36464861,39727614,242,210
112,2017-05-23 00:04:09.346749,36464862,39727614,242,210
113,2017-05-23 00:04:11.557215,36464862,39727614,242,210
114,2017-05-23 00:04:13.766903,36464862,39727614,242,210
115,2017-05-23 00:04:15.977922,36464862,39727614,241,220
116,2017-05-23 00:04:18.187688,36464862,39727614,242,220
117,2017-05-23 00:04:20.397840,36464862,39727614,242,220
118,2017-05-23 00:04:22.607974,36464862,39727614,242,220
119,2017-05-23 00:04:24.817692,36464862,39727614,242,210
120,2017-05-23 00:04:27.028366,36464862,39727614,242,210
121,2017-05-23 00:04:29.237924,36464862,39727614,242,210
122,2017-05-23 00:04:31.448647,36464862,39727614,242,210
123,2017-05-23 00:04:33.658484,36464863,39727614,242,210
124,2017-05-23 00:04:35.868798,36464863,39727614,242,220
125,2017-05-23 00:04:38.078932,36464863,39727614,242,220
126,2017-05-23 00:04:40.288624,36464863,39727614,242,210
127,2017-05-23 00:04:42.498930,36464863,39727614,242,210
128,2017-05-23 00:04:44.708935,36464863,39727614,242,220
129,2017-05-23 00:04:46.919710,36464863,39727614,242,220
130,2017-05-23 00:04:49.129037,36464863,39727614,242,210
131,2017-05-23 00:04:51.339731,36464863,39727614,242,220
132,2017-05-23 00:04:53.549721,36464863,39727614,242,210
133,2017-05-23 00:04:55.759714,36464863,39727614,242,210
134,2017-05-23 00:04:57.970081,36464864,39727614,242,220
135,2017-05-23 00:05:00.179993,36464864,39727614,242,220
136,2017-05-23 00:05:02.390080,36464864,39727614,242,220
137,2017-05-23 00:05:04.600392,36464864,39727614,242,220
138,2017-05-23 00:05:06.810521,36464864,39727614,241,210
139,2017-05-23 00:05:09.020767,36464864,39727614,242,210
140,2017-05-23 00:05:11.230592,36464864,39727614,242,220
141,2017-05-23 00:05:13.440908,36464864,39727614,242,210
142,2017-05-23 00:05:15.650820,36464864,39727614,242,220
143,2017-05-23 00:05:17.861432,36464864,39727614,242,220
144,2017-05-23 00:05:20.071279,36464864,39727614,242,220
145,2017-05-23 00:05:22.281580,36464864,39727614,242,220
146,2017-05-23 00:05:24.491601,36464865,39727614,242,210
147,2017-05-23 00:05:26.701462,36464865,39727614,242,220
148,2017-05-23 00:05:28.911995,36464865,39727614,242,210
149,2017-05-23 00:05:31.121650,36464865,39727614,242,220
150,2017-05-23 00:05:33.332206,36464865,39727614,242,220
151,2017-05-23 00:05:35.541840,36464865,39727614,242,220
152,2017-05-23 00:05:37.752359,36464865,39727614,241,220
153,2017-05-23 00:05:39.962677,36464865,39727614,241,220
154,2017-05-23 00:05:42.172380,36464865,39727614,241,210
155,2017-05-23 00:05:44.382686,36464865,39727614,241,210
156,2017-05-23 00:05:46.592576,36464865,39727614,241,210
157,2017-05-23 00:05:48.802969,36464866,39727614,241,210
158,2017-05-23 00:05:51.012784,36464866,39727614,241,210
159,2017-05-23 00:05:53.223447,36464866,39727614,241,210
160,2017-05-23 00:05:55.433448,36464866,39727614,242,220
161,2017-05-23 00:05:57.643289,36464866,39727614,240,210
162,2017-05-23 00:05:59.854001,36464866,39727614,241,220
163,2017-05-23 00:06:02.063865,36464866,39727614,242,220
164,2017-05-23 00:06:04.274174,36464866,39727614,241,220
165,2017-05-23 00:06:06.484181,36464866,39727614,241,220
166,2017-05-23 00:06:08.694230,36464866,39727614,241,220
167,2017-05-23 00:06:10.904383,36464866,39727614,241,210
168,2017-05-23 00:06:13.114250,36464867,39727614,241,210
169,2017-05-23 00:06:15.324540,36464867,39727614,241,210
170,2017-05-23 00:06:17.534441,36464867,39727614,241,210
171,2017-05-23 00:06:19.744818,36464867,39727614,241,210
172,2017-05-23 00:06:21.954653,36464867,39727614,241,210
173,2017-05-23 00:06:24.165391,36464867,39727614,241,210
174,2017-05-23 00:06:26.375337,36464867,39727614,241,210
175,2017-05-23 00:06:28.585591,36464867,39727614,241,210
176,2017-05-23 00:06:30.795739,36464867,39727614,241,210
177,2017-05-23 00:06:33.005737,36464867,39727614,241,220
178,2017-05-23 00:06:35.216207,36464867,39727614,241,210
179,2017-05-23 00:06:37.425896,36464867,39727614,241,220
180,2017-05-23 00:06:39.636541,36464868,39727614,241,210
181,2017-05-23 00:06:41.846353,36464868,39727614,241,210
182,2017-05-23 00:06:44.056270,36464868,39727614,241,210
183,2017-05-23 00:06:46.266616,36464868,39727614,241,210
184,2017-05-23 00:06:48.476404,36464868,39727614,241,210
185,2017-05-23 00:06:50.686662,36464868,39727614,241,210
186,2017-05-23 00:06:52.896869,36464868,39727614,241,210
187,2017-05-23 00:06:55.107203,36464868,39727614,241,210
188,2017-05-23 00:06:57.317304,36464868,39727614,241,210
189,2017-05-23 00:06:59.527077,36464868,39727614,241,210
190,2017-05-23 00:07:01.737619,36464868,39727614,241,220
191,2017-05-23 00:07:03.947501,36464869,39727614,241,210
192,2017-05-23 00:07:06.157806,36464869,39727614,241,220
193,2017-05-23 00:07:08.367816,36464869,39727614,241,210
194,2017-05-23 00:07:10.578043,36464869,39727614,241,210
195,2017-05-23 00:07:12.788119,36464869,39727614,241,220
196,2017-05-23 00:07:14.998123,36464869,39727614,242,220
197,2017-05-23 00:07:17.208491,36464869,39727614,241,230
198,2017-05-23 00:07:19.418306,36464869,39727614,241,210
199,2017-05-23 00:07:21.629117,36464869,39727614,241,220
200,2017-05-23 00:07:23.838449,36464869,39727614,241,220
201,2017-05-23 00:07:26.049057,36464869,39727614,241,210
202,2017-05-23 00:07:28.259160,36464870,39727614,241,210
203,2017-05-23 00:07:30.469100,36464870,39727614,242,210
204,2017-05-23 00:07:32.679366,36464870,39727614,242,220
205,2017-05-23 00:07:34.889361,36464870,39727614,242,200
206,2017-05-23 00:07:37.099490,36464870,39727614,242,210
207,2017-05-23 00:07:39.309389,36464870,39727614,241,210
208,2017-05-23 00:07:41.520145,36464870,39727614,241,210
209,2017-05-23 00:07:43.730146,36464870,39727614,241,220
210,2017-05-23 00:07:45.939997,36464870,39727614,241,220
211,2017-05-23 00:07:48.150239,36464870,39727614,241,220
212,2017-05-23 00:07:50.360218,36464870,39727614,241,220
213,2017-05-23 00:07:52.570801,36464870,39727614,241,220
214,2017-05-23 00:07:54.780313,36464871,39727614,241,220
215,2017-05-23 00:07:56.990984,36464871,39727614,241,210
216,2017-05-23 00:07:59.201117,36464871,39727614,241,210
217,2017-05-23 00:08:01.410819,36464871,39727614,241,210
218,2017-05-23 00:08:03.621416,36464871,39727614,241,210
219,2017-05-23 00:08:05.831028,36464871,39727614,241,210
220,2017-05-23 00:08:08.041553,36464871,39727614,241,210
221,2017-05-23 00:08:10.251227,36464871,39727614,241,220
222,2017-05-23 00:08:12.461768,36464871,39727614,241,210
223,2017-05-23 00:08:14.672084,36464871,39727614,241,220
224,2017-05-23 00:08:16.881875,36464871,39727614,241,220
225,2017-05-23 00:08:19.092232,36464872,39727614,241,210
226,2017-05-23 00:08:21.307109,36464872,39727614,241,220
227,2017-05-23 00:08:23.512322,36464872,39727614,241,210
228,2017-05-23 00:08:25.722184,36464872,39727614,241,220
229,2017-05-23 00:08:27.932844,36464872,39727614,241,210
230,2017-05-23 00:08:30.142848,36464872,39727614,241,220
231,2017-05-23 00:08:32.352706,36464872,39727614,242,210
232,2017-05-23 00:08:34.563269,36464872,39727614,242,210
233,2017-05-23 00:08:36.773256,36464872,39727614,242,210
234,2017-05-23 00:08:38.983268,36464872,39727614,242,200
235,2017-05-23 00:08:41.193568,36464872,39727614,242,210
236,2017-05-23 00:08:43.403619,36464873,39727614,242,220
237,2017-05-23 00:08:45.613896,36464873,39727614,242,210
238,2017-05-23 00:08:47.823634,36464873,39727614,242,210
239,2017-05-23 00:08:50.034083,36464873,39727614,242,220
240,2017-05-23 00:08:52.243835,36464873,39727614,242,210
241,2017-05-23 00:08:54.454184,36464873,39727614,242,210
242,2017-05-23 00:08:56.664049,36464873,39727614,240,210
243,2017-05-23 00:08:58.874780,36464873,39727614,241,220
244,2017-05-23 00:09:01.084702,36464873,39727614,241,210
245,2017-05-23 00:09:03.294550,36464873,39727614,241,220
246,2017-05-23 00:09:05.505120,36464873,39727614,241,220
247,2017-05-23 00:09:07.714970,36464874,39727614,241,210
248,2017-05-23 00:09:09.925554,36464874,39727614,241,210
249,2017-05-23 00:09:12.135172,36464874,39727614,241,210
250,2017-05-23 00:09:14.345586,36464874,39727614,241,220
251,2017-05-23 00:09:16.555765,36464874,39727614,241,210
252,2017-05-23 00:09:18.765600,36464874,39727614,241,210
253,2017-05-23 00:09:20.975956,36464874,39727614,241,210
254,2017-05-23 00:09:23.185690,36464874,39727614,241,210
255,2017-05-23 00:09:25.396054,36464874,39727614,241,210
256,2017-05-23 00:09:27.605901,36464874,39727614,241,220
257,2017-05-23 00:09:29.816570,36464874,39727614,241,220
258,2017-05-23 00:09:32.026573,36464875,39727614,241,220
259,2017-05-23 00:09:34.236467,36464875,39727614,241,210
260,2017-05-23 00:09:36.446988,36464875,39727614,241,210
261,2017-05-23 00:09:38.656883,36464875,39727614,241,210
262,2017-05-23 00:09:40.867006,36464875,39727614,241,210
263,2017-05-23 00:09:43.077198,36464875,39727614,241,210
264,2017-05-23 00:09:45.287714,36464875,39727614,241,210
265,2017-05-23 00:09:47.497503,36464875,39727614,241,210
266,2017-05-23 00:09:49.707528,36464875,39727614,241,210
267,2017-05-23 00:09:51.917901,36464875,39727614,241,210
268,2017-05-23 00:09:54.127681,36464875,39727614,241,210
269,2017-05-23 00:09:56.338285,36464875,39727614,241,210
270,2017-05-23 00:09:58.547779,36464876,39727614,241,210
271,2017-05-23 00:10:00.758443,36464876,39727614,241,220
272,2017-05-23 00:10:02.968448,36464876,39727614,241,210
273,2017-05-23 00:10:05.178493,36464876,39727614,241,210
274,2017-05-23 00:10:07.388872,36464876,39727614,241,210
275,2017-05-23 00:10:09.598778,36464876,39727614,241,210
276,2017-05-23 00:10:11.809303,36464876,39727614,241,210
277,2017-05-23 00:10:14.019067,36464876,39727614,241,210
278,2017-05-23 00:10:16.229637,36464876,39727614,241,220
279,2017-05-23 00:10:18.439485,36464876,39727614,241,210
280,2017-05-23 00:10:20.649376,36464876,39727614,241,220
281,2017-05-23 00:10:22.859702,36464877,39727614,241,210
282,2017-05-23 00:10:25.069583,36464877,39727614,241,210
283,2017-05-23 00:10:27.280153,36464877,39727614,241,210
284,2017-05-23 00:10:29.490030,36464877,39727614,241,220
285,2017-05-23 00:10:31.700307,36464877,39727614,242,220
286,2017-05-23 00:10:33.910423,36464877,39727614,242,210
287,2017-05-23 00:10:36.120330,36464877,39727614,242,210
288,2017-05-23 00:10:38.330906,36464877,39727614,242,220
289,2017-05-23 00:10:40.540421,36464877,39727614,242,210
290,2017-05-23 00:10:42.751189,36464877,39727614,242,210
291,2017-05-23 00:10:44.960578,36464877,39727614,242,210
292,2017-05-23 00:10:47.171315,36464878,39727614,242,220
293,2017-05-23 00:10:49.381457,36464878,39727614,240,220
294,2017-05-23 00:10:51.591243,36464878,39727614,242,220
295,2017-05-23 00:10:53.801446,36464878,39727614,242,210
296,2017-05-23 00:10:56.011290,36464878,39727614,242,220
297,2017-05-23 00:10:58.221652,36464878,39727614,242,210
298,2017-05-23 00:11:00.431571,36464878,39727614,242,220
299,2017-05-23 00:11:02.642193,36464878,39727614,242,210
300,2017-05-23 00:11:04.852243,36464878,39727614,242,210
301,2017-05-23 00:11:07.062086,36464878,39727614,242,210
302,2017-05-23 00:11:09.272446,36464878,39727614,242,210
303,2017-05-23 00:11:11.482658,36464878,39727614,242,210
304,2017-05-23 00:11:13.692793,36464879,39727614,242,220
305,2017-05-23 00:11:15.902489,36464879,39727614,242,220
306,2017-05-23 00:11:18.113021,36464879,39727614,242,220
307,2017-05-23 00:11:20.323185,36464879,39727614,242,210
308,2017-05-23 00:11:22.533013,36464879,39727614,242,220
309,2017-05-23 00:11:24.743312,36464879,39727614,240,210
310,2017-05-23 00:11:26.953216,36464879,39727614,242,220
311,2017-05-23 00:11:29.163541,36464879,39727614,242,220
312,2017-05-23 00:11:31.373433,36464879,39727614,242,220
313,2017-05-23 00:11:33.584146,36464879,39727614,242,220
314,2017-05-23 00:11:35.794094,36464879,39727614,242,210
315,2017-05-23 00:11:38.003931,36464880,39727614,242,210
316,2017-05-23 00:11:40.214295,36464880,39727614,241,210
317,2017-05-23 00:11:42.424507,36464880,39727614,241,210
318,2017-05-23 00:11:44.634499,36464880,39727614,241,220
319,2017-05-23 00:11:46.844555,36464880,39727614,241,210
320,2017-05-23 00:11:49.054900,36464880,39727614,241,220
321,2017-05-23 00:11:51.265134,36464880,39727614,241,220
322,2017-05-23 00:11:53.474969,36464880,39727614,241,230
323,2017-05-23 00:11:55.685333,36464880,39727614,241,210
324,2017-05-23 00:11:57.895255,36464880,39727614,241,210
325,2017-05-23 00:12:00.105816,36464880,39727614,241,210
326,2017-05-23 00:12:02.315301,36464881,39727614,241,220
327,2017-05-23 00:12:04.525969,36464881,39727614,241,220
328,2017-05-23 00:12:06.735959,36464881,39727614,241,210
329,2017-05-23 00:12:08.945804,36464881,39727614,241,210
330,2017-05-23 00:12:11.156371,36464881,39727614,241,210
331,2017-05-23 00:12:13.366034,36464881,39727614,241,210
332,2017-05-23 00:12:15.576600,36464881,39727614,241,210
333,2017-05-23 00:12:17.786578,36464881,39727614,241,210
334,2017-05-23 00:12:19.996889,36464881,39727614,241,220
335,2017-05-23 00:12:22.206888,36464881,39727614,241,210
336,2017-05-23 00:12:24.416863,36464881,39727614,241,210
337,2017-05-23 00:12:26.627222,36464881,39727614,241,210
338,2017-05-23 00:12:28.837107,36464882,39727614,241,210
339,2017-05-23 00:12:31.047305,36464882,39727614,241,210
340,2017-05-23 00:12:33.257146,36464882,39727614,241,210
341,2017-05-23 00:12:35.467842,36464882,39727614,241,220
342,2017-05-23 00:12:37.677943,36464882,39727614,241,210
343,2017-05-23 00:12:39.887842,36464882,39727614,241,200
344,2017-05-23 00:12:42.098240,36464882,39727614,241,210
345,2017-05-23 00:12:44.308104,36464882,39727614,241,210
346,2017-05-23 00:12:46.518248,36464882,39727614,241,210
347,2017-05-23 00:12:48.728083,36464882,39727614,241,220
348,2017-05-23 00:12:50.938973,36464882,39727614,241,210
349,2017-05-23 00:12:53.148762,36464883,39727614,241,210
350,2017-05-23 00:12:55.358784,36464883,39727614,241,210
351,2017-05-23 00:12:57.573875,36464883,39727614,241,210
352,2017-05-23 00:12:59.778818,36464883,39727614,241,210
353,2017-05-23 00:13:01.989800,36464883,39727614,241,240
354,2017-05-23 00:13:04.199017,36464883,39727614,241,220
355,2017-05-23 00:13:06.409727,36464883,39727614,241,220
356,2017-05-23 00:13:08.619722,36464883,39727614,241,220
357,2017-05-23 00:13:10.829692,36464883,39727614,241,210
358,2017-05-23 00:13:13.040105,36464883,39727614,241,210
359,2017-05-23 00:13:15.249951,36464883,39727614,241,220
360,2017-05-23 00:13:17.460105,36464884,39727614,241,210
361,2017-05-23 00:13:19.670226,36464884,39727614,241,210
362,2017-05-23 00:13:21.880527,36464884,39727614,241,210
363,2017-05-23 00:13:24.090778,36464884,39727614,241,210
364,2017-05-23 00:13:26.300642,36464884,39727614,241,210
365,2017-05-23 00:13:28.510843,36464884,39727614,241,210
366,2017-05-23 00:13:30.720674,36464884,39727614,241,220
367,2017-05-23 00:13:32.931059,36464884,39727614,241,210
368,2017-05-23 00:13:35.140938,36464884,39727614,241,210
369,2017-05-23 00:13:37.351629,36464884,39727614,241,210
370,2017-05-23 00:13:39.561616,36464884,39727614,241,210
371,2017-05-23 00:13:41.771551,36464885,39727614,241,210
372,2017-05-23 00:13:43.982077,36464885,39727614,241,220
373,2017-05-23 00:13:46.192026,36464885,39727614,241,210
374,2017-05-23 00:13:48.401980,36464885,39727614,241,210
375,2017-05-23 00:13:50.612095,36464885,39727614,241,220
376,2017-05-23 00:13:52.822403,36464885,39727614,241,210
377,2017-05-23 00:13:55.032656,36464885,39727614,242,210
378,2017-05-23 00:13:57.242485,36464885,39727614,241,210
379,2017-05-23 00:13:59.452700,36464885,39727614,241,210
380,2017-05-23 00:14:01.662702,36464885,39727614,241,210
381,2017-05-23 00:14:03.872933,36464885,39727614,241,210
382,2017-05-23 00:14:06.082796,36464885,39727614,242,210
383,2017-05-23 00:14:08.293522,36464886,39727614,242,210
384,2017-05-23 00:14:10.503582,36464886,39727614,241,210
385,2017-05-23 00:14:12.713326,36464886,39727614,241,220
386,2017-05-23 00:14:14.923856,36464886,39727614,241,220
387,2017-05-23 00:14:17.133729,36464886,39727614,242,220
388,2017-05-23 00:14:19.343843,36464886,39727614,241,220
389,2017-05-23 00:14:21.553738,36464886,39727614,241,220
390,2017-05-23 00:14:23.764247,36464886,39727614,242,210
391,2017-05-23 00:14:25.974406,36464886,39727614,241,210
392,2017-05-23 00:14:28.184263,36464886,39727614,242,210
393,2017-05-23 00:14:30.394715,36464886,39727614,241,210
394,2017-05-23 00:14:32.604471,36464887,39727614,242,210
395,2017-05-23 00:14:34.814837,36464887,39727614,242,210
396,2017-05-23 00:14:37.025039,36464887,39727614,242,210
397,2017-05-23 00:14:39.235347,36464887,39727614,242,210
398,2017-05-23 00:14:41.445439,36464887,39727614,241,210
399,2017-05-23 00:14:43.655196,36464887,39727614,242,220
400,2017-05-23 00:14:45.865936,36464887,39727614,242,220
401,2017-05-23 00:14:48.075388,36464887,39727614,241,220
402,2017-05-23 00:14:50.285748,36464887,39727614,242,220
403,2017-05-23 00:14:52.495966,36464887,39727614,242,220
404,2017-05-23 00:14:54.706270,36464887,39727614,242,210
405,2017-05-23 00:14:56.916273,36464888,39727614,242,210
406,2017-05-23 00:14:59.126131,36464888,39727614,242,210
407,2017-05-23 00:15:01.336422,36464888,39727614,242,220
408,2017-05-23 00:15:03.546318,36464888,39727614,242,210
409,2017-05-23 00:15:05.756681,36464888,39727614,242,210
410,2017-05-23 00:15:07.966523,36464888,39727614,242,210
411,2017-05-23 00:15:10.177232,36464888,39727614,242,220
412,2017-05-23 00:15:12.387331,36464888,39727614,242,210
413,2017-05-23 00:15:14.597204,36464888,39727614,242,210
414,2017-05-23 00:15:16.807792,36464888,39727614,242,220
415,2017-05-23 00:15:19.017478,36464888,39727614,242,220
416,2017-05-23 00:15:21.227824,36464888,39727614,241,210
417,2017-05-23 00:15:23.437664,36464889,39727614,242,210
418,2017-05-23 00:15:25.648313,36464889,39727614,242,210
419,2017-05-23 00:15:27.858263,36464889,39727614,241,220
420,2017-05-23 00:15:30.068027,36464889,39727614,242,220
421,2017-05-23 00:15:32.278337,36464889,39727614,242,220
422,2017-05-23 00:15:34.488213,36464889,39727614,242,220
423,2017-05-23 00:15:36.698940,36464889,39727614,242,210
424,2017-05-23 00:15:38.908761,36464889,39727614,242,220
425,2017-05-23 00:15:41.119090,36464889,39727614,242,210
426,2017-05-23 00:15:43.329063,36464889,39727614,242,210
427,2017-05-23 00:15:45.539222,36464889,39727614,241,220
428,2017-05-23 00:15:47.749476,36464890,39727614,241,210
429,2017-05-23 00:15:49.959338,36464890,39727614,241,210
430,2017-05-23 00:15:52.169711,36464890,39727614,241,210
431,2017-05-23 00:15:54.379322,36464890,39727614,241,210
432,2017-05-23 00:15:56.590262,36464890,39727614,241,210
433,2017-05-23 00:15:58.800168,36464890,39727614,241,210
434,2017-05-23 00:16:01.009996,36464890,39727614,242,220
435,2017-05-23 00:16:03.220205,36464890,39727614,241,220
436,2017-05-23 00:16:05.430051,36464890,39727614,241,220
437,2017-05-23 00:16:07.640441,36464890,39727614,241,220
438,2017-05-23 00:16:09.850284,36464890,39727614,241,220
439,2017-05-23 00:16:12.060948,36464891,39727614,241,210
440,2017-05-23 00:16:14.271044,36464891,39727614,241,210
441,2017-05-23 00:16:16.480836,36464891,39727614,241,210
442,2017-05-23 00:16:18.691505,36464891,39727614,241,210
443,2017-05-23 00:16:20.901218,36464891,39727614,241,210
444,2017-05-23 00:16:23.111566,36464891,39727614,241,210
445,2017-05-23 00:16:25.321244,36464891,39727614,242,210
446,2017-05-23 00:16:27.531817,36464891,39727614,242,210
447,2017-05-23 00:16:29.741925,36464891,39727614,242,220
448,2017-05-23 00:16:31.951766,36464891,39727614,242,220
449,2017-05-23 00:16:34.162105,36464891,39727614,242,220
450,2017-05-23 00:16:36.371940,36464891,39727614,242,210
451,2017-05-23 00:16:38.582287,36464892,39727614,242,220
452,2017-05-23 00:16:40.792181,36464892,39727614,242,210
453,2017-05-23 00:16:43.002896,36464892,39727614,241,210
454,2017-05-23 00:16:45.212846,36464892,39727614,241,220
455,2017-05-23 00:16:47.422688,36464892,39727614,241,220
456,2017-05-23 00:16:49.633227,36464892,39727614,241,220
457,2017-05-23 00:16:51.843106,36464892,39727614,241,210
458,2017-05-23 00:16:54.053417,36464892,39727614,241,210
459,2017-05-23 00:16:56.263107,36464892,39727614,241,210
460,2017-05-23 00:16:58.473788,36464892,39727614,241,210
461,2017-05-23 00:17:00.683777,36464892,39727614,241,220
