ord,date,ADCO,OPTARIF,ISOUSC,HCHC,HCHP,PTEC,IINST,IMAX,TENSION,PAPP,HHPHC,MOTDETAT
0,2017-05-22 00:00:01.132525,030422000048,HC..,30,036461040,039723683,HC..,001,031,243,00150,A,000000
1,2017-05-22 00:00:03.342693,030422000048,HC..,30,036461040,039723683,HC..,001,031,242,00150,A,000000
2,2017-05-22 00:00:05.552538,030422000048,HC..,30,036461040,039723683,HC..,001,031,242,00140,A,000000
3,2017-05-22 00:00:07.763032,030422000048,HC..,30,036461040,039723683,HC..,001,031,242,00140,A,000000
4,2017-05-22 00:00:09.972840,030422000048,HC..,30,036461040,039723683,HC..,001,031,242,00130,A,000000
5,2017-05-22 00:00:12.183414,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00130,A,000000
6,2017-05-22 00:00:14.393540,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
7,2017-05-22 00:00:16.603621,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
8,2017-05-22 00:00:18.813620,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00130,A,000000
9,2017-05-22 00:00:21.023468,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00130,A,000000
10,2017-05-22 00:00:23.234222,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00120,A,000000
11,2017-05-22 00:00:25.443884,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00130,A,000000
12,2017-05-22 00:00:27.654357,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
13,2017-05-22 00:00:29.864278,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
14,2017-05-22 00:00:32.074411,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
15,2017-05-22 00:00:34.284571,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
16,2017-05-22 00:00:36.494418,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
17,2017-05-22 00:00:38.704746,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
18,2017-05-22 00:00:40.914751,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
19,2017-05-22 00:00:43.124951,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
20,2017-05-22 00:00:45.334852,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
21,2017-05-22 00:00:47.545534,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
22,2017-05-22 00:00:49.755525,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00130,A,000000
23,2017-05-22 00:00:51.965720,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00120,A,000000
24,2017-05-22 00:00:54.176084,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00130,A,000000
25,2017-05-22 00:00:56.385928,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00130,A,000000
26,2017-05-22 00:00:58.595924,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00130,A,000000
27,2017-05-22 00:01:00.805976,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00140,A,000000
28,2017-05-22 00:01:03.016295,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00130,A,000000
29,2017-05-22 00:01:05.226449,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00140,A,000000
30,2017-05-22 00:01:07.436395,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00130,A,000000
31,2017-05-22 00:01:09.646609,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00130,A,000000
32,2017-05-22 00:01:11.856505,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00140,A,000000
33,2017-05-22 00:01:14.067229,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00150,A,000000
34,2017-05-22 00:01:16.276715,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00140,A,000000
35,2017-05-22 00:01:18.487542,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00150,A,000000
36,2017-05-22 00:01:20.697520,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00190,A,000000
37,2017-05-22 00:01:22.907335,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00130,A,000000
38,2017-05-22 00:01:25.117818,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00140,A,000000
39,2017-05-22 00:01:27.327667,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00140,A,000000
40,2017-05-22 00:01:29.537836,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00140,A,000000
41,2017-05-22 00:01:31.747652,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00140,A,000000
42,2017-05-22 00:01:33.958200,030422000048,HC..,30,036461043,039723683,HC..,001,031,242,00130,A,000000
43,2017-05-22 00:01:36.168489,030422000048,HC..,30,036461043,039723683,HC..,001,031,242,00140,A,000000
44,2017-05-22 00:01:38.378345,030422000048,HC..,30,036461043,039723683,HC..,001,031,242,00130,A,000000
45,2017-05-22 00:01:40.588541,030422000048,HC..,30,036461043,039723683,HC..,001,031,242,00130,A,000000
46,2017-05-22 00:01:42.798403,030422000048,HC..,30,036461043,039723683,HC..,001,031,242,00150,A,000000
47,2017-05-22 00:01:45.008754,030422000048,HC..,30,036461043,039723683,HC..,001,031,242,00140,A,000000
48,2017-05-22 00:01:47.218611,030422000048,HC..,30,036461043,039723683,HC..,001,031,242,00140,A,000000
49,2017-05-22 00:01:49.429270,030422000048,HC..,30,036461043,039723683,HC..,001,031,242,00140,A,000000
50,2017-05-22 00:01:51.639480,030422000048,HC..,30,036461043,039723683,HC..,001,031,242,00140,A,000000
51,2017-05-22 00:01:53.849274,030422000048,HC..,30,036461043,039723683,HC..,001,031,242,00130,A,000000
52,2017-05-22 00:01:56.059692,030422000048,HC..,30,036461043,039723683,HC..,001,031,242,00130,A,000000
53,2017-05-22 00:01:58.269699,030422000048,HC..,30,036461043,039723683,HC..,001,031,242,00130,A,000000
54,2017-05-22 00:02:00.479720,030422000048,HC..,30,036461043,039723683,HC..,001,031,241,00140,A,000000
55,2017-05-22 00:02:02.689558,030422000048,HC..,30,036461043,039723683,HC..,001,031,241,00140,A,000000
56,2017-05-22 00:02:04.900124,030422000048,HC..,30,036461043,039723683,HC..,001,031,241,00130,A,000000
57,2017-05-22 00:02:07.110434,030422000048,HC..,30,036461043,039723683,HC..,001,031,241,00120,A,000000
58,2017-05-22 00:02:09.320224,030422000048,HC..,30,036461043,039723683,HC..,001,031,241,00130,A,000000
59,2017-05-22 00:02:11.530472,030422000048,HC..,30,036461043,039723683,HC..,001,031,241,00130,A,000000
60,2017-05-22 00:02:13.740339,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00130,A,000000
61,2017-05-22 00:02:15.950659,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00140,A,000000
62,2017-05-22 00:02:18.161072,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00150,A,000000
63,2017-05-22 00:02:20.371486,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00140,A,000000
64,2017-05-22 00:02:22.581257,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00140,A,000000
65,2017-05-22 00:02:24.790997,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00140,A,000000
66,2017-05-22 00:02:27.001677,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00140,A,000000
67,2017-05-22 00:02:29.211470,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00150,A,000000
68,2017-05-22 00:02:31.421781,030422000048,HC..,30,036461044,039723683,HC..,001,031,240,00140,A,000000
69,2017-05-22 00:02:33.631468,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00140,A,000000
70,2017-05-22 00:02:35.841990,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00140,A,000000
71,2017-05-22 00:02:38.052099,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00130,A,000000
72,2017-05-22 00:02:40.262096,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00130,A,000000
73,2017-05-22 00:02:42.472513,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00140,A,000000
74,2017-05-22 00:02:44.682208,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00140,A,000000
75,2017-05-22 00:02:46.892552,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00130,A,000000
76,2017-05-22 00:02:49.102787,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00130,A,000000
77,2017-05-22 00:02:51.313099,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00130,A,000000
78,2017-05-22 00:02:53.523062,030422000048,HC..,30,036461044,039723683,HC..,001,031,241,00130,A,000000
79,2017-05-22 00:02:55.732958,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00130,A,000000
80,2017-05-22 00:02:57.943467,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00140,A,000000
81,2017-05-22 00:03:00.153510,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00140,A,000000
82,2017-05-22 00:03:02.363461,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00150,A,000000
83,2017-05-22 00:03:04.573718,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00150,A,000000
84,2017-05-22 00:03:06.783878,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00130,A,000000
85,2017-05-22 00:03:08.994043,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00130,A,000000
86,2017-05-22 00:03:11.204001,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00130,A,000000
87,2017-05-22 00:03:13.414185,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00140,A,000000
88,2017-05-22 00:03:15.624034,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00140,A,000000
89,2017-05-22 00:03:17.834402,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00130,A,000000
90,2017-05-22 00:03:20.044662,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00130,A,000000
91,2017-05-22 00:03:22.254995,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00130,A,000000
92,2017-05-22 00:03:24.464994,030422000048,HC..,30,036461045,039723683,HC..,001,031,242,00130,A,000000
93,2017-05-22 00:03:26.674997,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00130,A,000000
94,2017-05-22 00:03:28.885424,030422000048,HC..,30,036461045,039723683,HC..,001,031,241,00150,A,000000
95,2017-05-22 00:03:31.095339,030422000048,HC..,30,036461045,039723683,HC..,001,031,242,00150,A,000000
96,2017-05-22 00:03:33.305562,030422000048,HC..,30,036461045,039723683,HC..,001,031,242,00150,A,000000
97,2017-05-22 00:03:35.515256,030422000048,HC..,30,036461046,039723683,HC..,001,031,242,00150,A,000000
98,2017-05-22 00:03:37.725781,030422000048,HC..,30,036461046,039723683,HC..,001,031,242,00140,A,000000
99,2017-05-22 00:03:39.935942,030422000048,HC..,30,036461046,039723683,HC..,001,031,241,00140,A,000000
100,2017-05-22 00:03:42.145794,030422000048,HC..,30,036461046,039723683,HC..,001,031,242,00140,A,000000
101,2017-05-22 00:03:44.356228,030422000048,HC..,30,036461046,039723683,HC..,001,031,242,00140,A,000000
102,2017-05-22 00:03:46.565971,030422000048,HC..,30,036461046,039723683,HC..,001,031,242,00150,A,000000
103,2017-05-22 00:03:48.776701,030422000048,HC..,30,036461046,039723683,HC..,001,031,242,00130,A,000000
104,2017-05-22 00:03:50.986559,030422000048,HC..,30,036461046,039723683,HC..,001,031,241,00130,A,000000
105,2017-05-22 00:03:53.196873,030422000048,HC..,30,036461046,039723683,HC..,001,031,241,00130,A,000000
106,2017-05-22 00:03:55.406809,030422000048,HC..,30,036461046,039723683,HC..,001,031,242,00130,A,000000
107,2017-05-22 00:03:57.616701,030422000048,HC..,30,036461046,039723683,HC..,001,031,241,00130,A,000000
108,2017-05-22 00:03:59.827429,030422000048,HC..,30,036461046,039723683,HC..,001,031,242,00140,A,000000
109,2017-05-22 00:04:02.037116,030422000048,HC..,30,036461046,039723683,HC..,001,031,242,00140,A,000000
110,2017-05-22 00:04:04.247680,030422000048,HC..,30,036461046,039723683,HC..,001,031,242,00140,A,000000
111,2017-05-22 00:04:06.457127,030422000048,HC..,30,036461046,039723683,HC..,001,031,242,00130,A,000000
112,2017-05-22 00:04:08.667657,030422000048,HC..,30,036461046,039723683,HC..,001,031,242,00140,A,000000
113,2017-05-22 00:04:10.877980,030422000048,HC..,30,036461046,039723683,HC..,001,031,242,00140,A,000000
114,2017-05-22 00:04:13.087763,030422000048,HC..,30,036461046,039723683,HC..,001,031,242,00150,A,000000
115,2017-05-22 00:04:15.298117,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00140,A,000000
116,2017-05-22 00:04:17.507852,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00150,A,000000
117,2017-05-22 00:04:19.718232,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00150,A,000000
118,2017-05-22 00:04:21.928092,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00130,A,000000
119,2017-05-22 00:04:24.138757,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00130,A,000000
120,2017-05-22 00:04:26.348735,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00130,A,000000
121,2017-05-22 00:04:28.558652,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00130,A,000000
122,2017-05-22 00:04:30.769260,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00130,A,000000
123,2017-05-22 00:04:32.978967,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00140,A,000000
124,2017-05-22 00:04:35.189383,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00140,A,000000
125,2017-05-22 00:04:37.398999,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00130,A,000000
126,2017-05-22 00:04:39.609521,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00140,A,000000
127,2017-05-22 00:04:41.819682,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00140,A,000000
128,2017-05-22 00:04:44.029609,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00140,A,000000
129,2017-05-22 00:04:46.240067,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00140,A,000000
130,2017-05-22 00:04:48.449731,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00140,A,000000
131,2017-05-22 00:04:50.660100,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00130,A,000000
132,2017-05-22 00:04:52.869964,030422000048,HC..,30,036461047,039723683,HC..,001,031,242,00130,A,000000
133,2017-05-22 00:04:55.080929,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00140,A,000000
134,2017-05-22 00:04:57.290760,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00140,A,000000
135,2017-05-22 00:04:59.500514,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00130,A,000000
136,2017-05-22 00:05:01.710852,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00140,A,000000
137,2017-05-22 00:05:03.920961,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00130,A,000000
138,2017-05-22 00:05:06.131247,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00130,A,000000
139,2017-05-22 00:05:08.341348,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00130,A,000000
140,2017-05-22 00:05:10.551474,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00130,A,000000
141,2017-05-22 00:05:12.761662,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00150,A,000000
142,2017-05-22 00:05:14.971473,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00150,A,000000
143,2017-05-22 00:05:17.181947,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00150,A,000000
144,2017-05-22 00:05:19.391788,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00150,A,000000
145,2017-05-22 00:05:21.602554,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00140,A,000000
146,2017-05-22 00:05:23.812206,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00140,A,000000
147,2017-05-22 00:05:26.022541,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00140,A,000000
148,2017-05-22 00:05:28.232632,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00140,A,000000
149,2017-05-22 00:05:30.442462,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00140,A,000000
150,2017-05-22 00:05:32.652942,030422000048,HC..,30,036461048,039723683,HC..,001,031,242,00140,A,000000
151,2017-05-22 00:05:34.862836,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00130,A,000000
152,2017-05-22 00:05:37.073238,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00130,A,000000
153,2017-05-22 00:05:39.283162,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00140,A,000000
154,2017-05-22 00:05:41.493344,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00140,A,000000
155,2017-05-22 00:05:43.703463,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00140,A,000000
156,2017-05-22 00:05:45.913362,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00140,A,000000
157,2017-05-22 00:05:48.123682,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00140,A,000000
158,2017-05-22 00:05:50.333602,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00130,A,000000
159,2017-05-22 00:05:52.544250,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00140,A,000000
160,2017-05-22 00:05:54.754070,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00130,A,000000
161,2017-05-22 00:05:56.964407,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00140,A,000000
162,2017-05-22 00:05:59.174406,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00150,A,000000
163,2017-05-22 00:06:01.384443,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00140,A,000000
164,2017-05-22 00:06:03.594957,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00150,A,000000
165,2017-05-22 00:06:05.804733,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00130,A,000000
166,2017-05-22 00:06:08.015301,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00130,A,000000
167,2017-05-22 00:06:10.225187,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00130,A,000000
168,2017-05-22 00:06:12.435224,030422000048,HC..,30,036461049,039723683,HC..,001,031,242,00130,A,000000
169,2017-05-22 00:06:14.645507,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00130,A,000000
170,2017-05-22 00:06:16.855224,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00130,A,000000
171,2017-05-22 00:06:19.065538,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00130,A,000000
172,2017-05-22 00:06:21.275404,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00140,A,000000
173,2017-05-22 00:06:23.486112,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00130,A,000000
174,2017-05-22 00:06:25.696235,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00130,A,000000
175,2017-05-22 00:06:27.906351,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00150,A,000000
176,2017-05-22 00:06:30.116702,030422000048,HC..,30,036461050,039723683,HC..,000,031,242,00150,A,000000
177,2017-05-22 00:06:32.326171,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00150,A,000000
178,2017-05-22 00:06:34.536912,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00150,A,000000
179,2017-05-22 00:06:36.746578,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00140,A,000000
180,2017-05-22 00:06:38.956683,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00130,A,000000
181,2017-05-22 00:06:41.166598,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00130,A,000000
182,2017-05-22 00:06:43.377119,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00140,A,000000
183,2017-05-22 00:06:45.587424,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00140,A,000000
184,2017-05-22 00:06:47.797211,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00140,A,000000
185,2017-05-22 00:06:50.007418,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00140,A,000000
186,2017-05-22 00:06:52.217259,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00130,A,000000
187,2017-05-22 00:06:54.428202,030422000048,HC..,30,036461050,039723683,HC..,001,031,242,00120,A,000000
188,2017-05-22 00:06:56.637888,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00130,A,000000
189,2017-05-22 00:06:58.848217,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00140,A,000000
190,2017-05-22 00:07:01.058217,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00140,A,000000
191,2017-05-22 00:07:03.268073,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00140,A,000000
192,2017-05-22 00:07:05.478619,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00150,A,000000
193,2017-05-22 00:07:07.688634,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00140,A,000000
194,2017-05-22 00:07:09.899037,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00130,A,000000
195,2017-05-22 00:07:12.108783,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00130,A,000000
196,2017-05-22 00:07:14.319346,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00150,A,000000
197,2017-05-22 00:07:16.529157,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00140,A,000000
198,2017-05-22 00:07:18.739001,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00140,A,000000
199,2017-05-22 00:07:20.949313,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00130,A,000000
200,2017-05-22 00:07:23.159193,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00130,A,000000
201,2017-05-22 00:07:25.369537,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00130,A,000000
202,2017-05-22 00:07:27.579767,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00130,A,000000
203,2017-05-22 00:07:29.790080,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00140,A,000000
204,2017-05-22 00:07:32.000442,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00140,A,000000
205,2017-05-22 00:07:34.210033,030422000048,HC..,30,036461051,039723683,HC..,001,031,242,00140,A,000000
206,2017-05-22 00:07:36.420496,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00130,A,000000
207,2017-05-22 00:07:38.630496,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00140,A,000000
208,2017-05-22 00:07:40.840511,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00140,A,000000
209,2017-05-22 00:07:43.050347,030422000048,HC..,30,036461052,039723683,HC..,001,031,241,00140,A,000000
210,2017-05-22 00:07:45.260870,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00140,A,000000
211,2017-05-22 00:07:47.471020,030422000048,HC..,30,036461052,039723683,HC..,001,031,241,00140,A,000000
212,2017-05-22 00:07:49.680967,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00150,A,000000
213,2017-05-22 00:07:51.891350,030422000048,HC..,30,036461052,039723683,HC..,001,031,241,00130,A,000000
214,2017-05-22 00:07:54.101097,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00130,A,000000
215,2017-05-22 00:07:56.311457,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00130,A,000000
216,2017-05-22 00:07:58.521302,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00130,A,000000
217,2017-05-22 00:08:00.731982,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00140,A,000000
218,2017-05-22 00:08:02.941981,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00130,A,000000
219,2017-05-22 00:08:05.151836,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00130,A,000000
220,2017-05-22 00:08:07.362383,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00130,A,000000
221,2017-05-22 00:08:09.577118,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00120,A,000000
222,2017-05-22 00:08:11.782722,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00140,A,000000
223,2017-05-22 00:08:13.992874,030422000048,HC..,30,036461052,039723683,HC..,001,031,242,00150,A,000000
224,2017-05-22 00:08:16.202766,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00140,A,000000
225,2017-05-22 00:08:18.413031,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00140,A,000000
226,2017-05-22 00:08:20.622805,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00140,A,000000
227,2017-05-22 00:08:22.833219,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00140,A,000000
228,2017-05-22 00:08:25.043056,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00130,A,000000
229,2017-05-22 00:08:27.253698,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00140,A,000000
230,2017-05-22 00:08:29.463170,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00140,A,000000
231,2017-05-22 00:08:31.674107,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00130,A,000000
232,2017-05-22 00:08:33.883852,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00130,A,000000
233,2017-05-22 00:08:36.093922,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00130,A,000000
234,2017-05-22 00:08:38.304279,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00130,A,000000
235,2017-05-22 00:08:40.514281,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00130,A,000000
236,2017-05-22 00:08:42.724485,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00130,A,000000
237,2017-05-22 00:08:44.934121,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00140,A,000000
238,2017-05-22 00:08:47.144680,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00150,A,000000
239,2017-05-22 00:08:49.354784,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00140,A,000000
240,2017-05-22 00:08:51.564676,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00140,A,000000
241,2017-05-22 00:08:53.775014,030422000048,HC..,30,036461053,039723683,HC..,001,031,242,00140,A,000000
242,2017-05-22 00:08:55.984839,030422000048,HC..,30,036461054,039723683,HC..,001,031,242,00140,A,000000
243,2017-05-22 00:08:58.195591,030422000048,HC..,30,036461054,039723683,HC..,001,031,242,00140,A,000000
244,2017-05-22 00:09:00.405409,030422000048,HC..,30,036461054,039723683,HC..,001,031,242,00140,A,000000
245,2017-05-22 00:09:02.615730,030422000048,HC..,30,036461054,039723683,HC..,001,031,242,00140,A,000000
246,2017-05-22 00:09:04.825721,030422000048,HC..,30,036461054,039723683,HC..,001,031,241,00130,A,000000
247,2017-05-22 00:09:07.035652,030422000048,HC..,30,036461054,039723683,HC..,001,031,242,00130,A,000000
248,2017-05-22 00:09:09.246150,030422000048,HC..,30,036461054,039723683,HC..,001,031,242,00130,A,000000
249,2017-05-22 00:09:11.456037,030422000048,HC..,30,036461054,039723683,HC..,001,031,241,00140,A,000000
250,2017-05-22 00:09:13.666631,030422000048,HC..,30,036461054,039723683,HC..,001,031,242,00140,A,000000
251,2017-05-22 00:09:15.876274,030422000048,HC..,30,036461054,039723683,HC..,001,031,242,00140,A,000000
252,2017-05-22 00:09:18.086561,030422000048,HC..,30,036461054,039723683,HC..,001,031,242,00140,A,000000
