2017-05-23 00:00:01.811696
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464852 ,
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 243 9
PAPP 00180 *
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:04.022005
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464852 ,
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 243 9
PAPP 00180 *
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:06.231915
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464852 ,
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 243 9
PAPP 00170 )
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:08.442684
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464852 ,
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 243 9
PAPP 00180 *
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:10.652465
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464852 ,
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 243 9
PAPP 00170 )
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:12.862801
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464852 ,
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 243 9
PAPP 00180 *
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:15.072776
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464852 ,
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 243 9
PAPP 00180 *
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:17.282619
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464852 ,
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 243 9
PAPP 00170 )
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:19.493193
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464852 ,
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 243 9
PAPP 00170 )
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:21.703033
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464852 ,
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 243 9
PAPP 00180 *
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:23.913209
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464852 ,
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00240 '
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:26.123416
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464853 -
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00230 &
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:28.333619
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464853 -
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00230 &
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:30.543879
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464853 -
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00210 $
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:32.753656
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464853 -
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00220 %
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:34.964041
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464853 -
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00220 %
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:37.173786
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464853 -
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00220 %
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:39.384136
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464853 -
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00220 %
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:41.594353
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464853 -
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00220 %
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:43.804663
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464853 -
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00210 $
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:46.014661
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464853 -
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00220 %
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:48.224543
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464853 -
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00210 $
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:50.435164
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464854 .
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00220 %
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:52.645125
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464854 .
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00220 %
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:54.855297
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464854 .
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00220 %
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:57.065117
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464854 .
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00210 $
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:00:59.275477
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464854 .
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00210 $
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:01:01.485580
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464854 .
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00210 $
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:01:03.695598
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464854 .
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00210 $
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:01:05.905791
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464854 .
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00210 $
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:01:08.115832
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464854 .
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00210 $
HHPHC A ,
MOTDETAT 000000 B2017-05-23 00:01:10.326018
ADCO 030422000048 .
OPTARIF HC.. <
ISOUSC 30 9
HCHC 036464854 .
HCHP 039727614 :
PTEC HC.. S
IINST 001 X
IMAX 031 C
TENSION 242 8
PAPP 00210 $
HHPHC A ,
