ord,date,ADCO,OPTARIF,ISOUSC,HCHC,HCHP,PTEC,IINST,IMAX,TENSION,PAPP,HHPHC,MOTDETAT
0,2017-05-21 20:51:34.093297,030422000048,HC..,30,036457685,039723683,HC..,002,031,243,00410,A,000000
1,2017-05-21 20:51:36.302198,030422000048,HC..,30,036457686,039723683,HC..,002,031,244,00400,A,000000
2,2017-05-21 20:51:38.512525,030422000048,HC..,30,036457686,039723683,HC..,002,031,244,00370,A,000000
